  BTCUSD_Yr1  ,  BTCUSD_Yr2  ,  BTCUSD_Yr3  ,  BTCUSD_Yr4  ,  BTCUSD_Yr5  ,  HashPrice_Yr1  ,  HashPrice_Yr2  ,  HashPrice_Yr3  ,  HashPrice_Yr4  ,  HashPrice_Yr5  
"199,177","279,417","328,702","1,008,111","580,744",60,54,29,25,48
"117,959","365,750","453,434","833,664","588,474",50,38,44,26,34
"133,387","196,554","572,113","715,212","629,249",67,40,43,27,26
"196,131","317,978","161,707","802,961","589,114",83,21,18,23,36
"161,428","381,852","616,835","846,469","476,679",44,58,31,16,40
"172,321","288,020","531,022","622,317","425,006",105,7,30,20,54
"206,116","160,303","820,580","971,264","442,996",65,51,45,20,44
"135,466","272,700","571,055","661,694","392,664",51,25,23,19,31
"168,940","448,605","563,601","641,934","629,880",52,36,25,26,56
"191,090","259,202","430,156","705,345","807,319",63,23,26,26,31
"133,699","162,201","381,384","910,107","386,193",68,46,41,4,53
"88,731","509,216","514,512","771,195","753,267",59,39,38,24,50
"131,602","287,434","420,735","727,544","616,711",85,27,41,28,18
"198,704","269,501","599,847","722,447","600,802",61,35,51,21,58
"111,075","328,292","363,770","1,060,128","502,324",85,39,47,22,63
"125,800","241,958","515,273","404,494","742,065",84,15,32,13,48
"193,524","242,614","349,533","1,064,038","254,032",82,33,34,23,63
"249,639","257,922","588,295","207,966","625,405",55,38,41,23,43
"173,656","437,072","318,669","596,367","541,701",70,34,34,29,62
"130,901","158,553","645,397","329,247","466,932",103,47,33,21,49
"140,819","311,870","559,129","854,024","812,661",68,41,44,29,38
"132,601","226,902","701,923","1,022,925","348,528",53,36,31,24,44
"189,945","189,967","369,607","972,778","813,701",54,37,59,15,54
"130,078","254,815","648,782","893,337","524,535",55,28,32,12,68
"51,309","298,101","581,479","743,155","463,084",83,43,37,19,42
"117,701","343,981","318,694","725,006","213,193",18,26,54,13,26
"151,660","328,885","246,762","772,925","805,160",107,37,37,15,64
"86,497","357,898","449,305","920,935","499,567",70,63,35,22,44
"71,646","426,571","553,091","491,004","771,551",55,44,34,21,41
"116,145","196,043","376,113","610,865","597,436",70,58,35,17,70
"195,467","247,486","476,765","1,341,317","911,458",79,60,25,29,48
"140,574","243,292","439,920","513,173","812,179",119,55,28,23,63
"131,664","282,917","291,598","648,347","884,960",47,29,14,34,34
"130,705","77,796","553,567","1,084,804","353,537",79,47,25,25,57
"196,673","211,269","320,753","409,717","570,519",47,30,30,20,61
"252,052","329,276","460,121","523,969","329,103",40,40,29,11,91
"144,893","224,238","521,185","687,756","775,145",54,38,29,20,70
"163,723","341,582","756,627","986,694","611,369",95,31,19,31,62
"228,405","203,786","598,866","261,513","894,019",53,52,21,11,64
"239,079","164,861","297,295","787,619","744,251",45,44,25,32,19
"146,650","268,358","217,549","968,579","657,388",88,16,36,30,42
"133,671","194,600","744,047","473,470","387,942",29,52,31,8,75
"127,644","182,822","620,360","816,856","558,171",107,37,36,20,54
"213,251","265,840","685,333","869,978","714,804",52,34,43,34,72
"141,706","300,662","500,582","1,138,032","656,086",41,39,22,46,38
"226,452","265,164","584,503","809,271","692,262",58,35,37,27,52
"86,608","187,303","181,540","740,501","643,142",75,31,23,21,43
"130,853","326,283","359,022","592,154","731,942",41,33,8,26,13
"123,400","281,642","389,512","88,593","319,622",47,27,18,22,63
"234,060","244,976","376,557","526,434","730,128",76,29,35,21,66
"101,593","157,832","527,456","798,580","339,251",95,35,39,16,37
"53,755","315,978","117,297","648,107","723,656",88,48,27,23,40
"253,292","161,504","289,370","586,879","488,697",77,20,38,29,46
"185,932","265,411","673,256","680,778","1,103,127",55,18,38,28,54
"175,277","251,668","170,628","497,865","882,798",54,39,39,19,54
"184,218","289,231","620,577","891,484","558,331",83,58,35,32,57
"195,534","148,560","379,455","642,340","719,275",56,32,38,4,61
"126,888","224,364","193,700","946,556","613,580",94,42,-9,31,67
"198,500","159,585","656,453","754,182","532,607",116,48,24,20,41
"146,853","345,827","541,638","947,036","269,994",35,44,28,27,36
"111,596","354,997","468,163","932,901","572,879",101,65,43,33,61
"83,851","227,220","408,798","817,130","698,185",59,57,21,12,63
"243,035","256,858","404,546","851,165","599,149",47,31,41,11,73
"131,597","296,144","508,430","877,031","724,257",89,42,20,22,71
"227,412","366,316","412,146","649,262","726,361",87,36,49,18,57
"212,571","147,450","527,447","1,043,747","370,287",52,16,21,15,45
"129,219","305,756","166,645","647,782","931,213",76,38,17,25,60
"146,120","357,411","746,219","261,528","547,922",110,41,10,18,42
"104,951","69,960","774,340","371,466","646,915",52,37,53,30,50
"105,806","93,593","300,639","989,630","528,955",106,51,18,29,49
"119,534","275,490","422,414","1,016,704","461,158",73,23,33,25,40
"154,446","318,052","368,339","899,474","665,957",64,50,20,25,-2
"206,227","54,461","396,860","1,112,976","638,274",86,33,36,30,51
"87,158","209,890","551,670","632,444","769,594",23,27,27,24,64
"171,009","266,744","280,897","549,257","664,088",57,56,40,17,38
"233,686","296,669","267,791","879,534","562,667",69,23,41,10,63
"109,203","265,936","471,832","1,015,111","853,188",11,25,32,24,33
"147,485","209,425","417,240","216,503","581,280",72,29,29,27,38
"142,928","125,092","318,703","830,303","649,213",44,36,39,14,49
"175,423","275,464","495,394","833,024","764,679",63,30,45,25,46
"293,788","277,756","457,515","1,038,386","447,086",94,54,48,38,53
"128,607","305,286","321,739","467,446","679,483",44,33,51,27,31
"32,819","185,565","409,207","769,603","416,225",99,31,26,13,57
"221,054","309,270","446,889","385,596","736,193",90,31,46,17,63
"138,007","285,433","724,099","765,750","760,487",60,40,39,28,75
"198,378","201,808","320,148","751,765","828,987",46,39,35,11,38
"149,439","187,147","565,462","280,809","436,434",72,36,42,20,40
"202,741","421,911","197,744","688,814","708,391",75,45,18,34,49
"190,852","381,145","366,260","765,087","510,189",73,32,12,34,35
"232,912","216,173","397,431","662,377","455,035",79,32,22,25,66
"139,498","372,354","396,177","782,385","495,574",79,63,30,28,54
"130,652","377,563","376,524","738,164","473,151",54,38,41,19,45
"171,174","250,313","641,681","389,238","896,485",49,55,28,19,40
"122,845","315,560","523,654","608,448","282,869",78,22,19,19,38
"136,622","238,784","449,434","1,087,327","488,005",59,55,33,11,37
"111,791","245,976","303,731","869,309","947,660",62,33,9,27,49
"135,605","263,505","687,228","482,452","661,984",47,45,34,17,42
"147,683","214,687","600,538","515,624","623,158",94,26,27,12,65
"212,424","205,233","518,977","967,033","711,879",46,36,18,17,59
"89,199","156,173","279,579","1,161,603","672,615",46,32,17,29,50
"143,602","252,227","430,508","1,337,097","645,050",64,57,29,20,30
"190,571","298,164","351,639","950,837","695,056",61,18,26,17,66
"240,601","325,786","643,331","564,672","501,036",95,24,38,21,78
"100,103","304,607","396,984","741,991","967,541",21,17,59,23,64
"169,695","143,334","694,364","409,918","333,684",44,45,19,16,64
"113,256","219,342","344,891","656,632","750,866",63,43,21,13,57
"283,286","247,641","430,407","466,707","685,672",77,18,46,11,45
"234,765","387,164","347,903","681,624","869,881",90,35,34,22,63
"229,801","263,723","280,912","1,317,499","98,388",63,34,11,12,40
"172,299","133,028","405,179","879,581","791,059",45,59,19,30,83
"134,712","206,435","284,403","827,896","797,775",58,44,33,13,62
"107,705","295,427","517,839","742,574","525,107",63,51,24,4,62
"187,597","253,789","562,749","587,710","652,845",111,26,44,-2,57
"259,542","261,115","353,814","766,855","795,731",40,15,33,22,41
"180,786","382,711","415,159","1,514,989","280,738",94,10,48,29,50
"25,852","268,989","448,135","718,803","376,119",81,37,46,15,38
"193,028","312,779","619,582","743,493","314,119",61,44,28,25,53
"189,437","159,457","799,081","558,622","419,605",61,58,32,28,55
"128,067","226,637","476,439","971,613","669,756",76,24,37,13,61
"156,101","241,178","430,958","1,105,599","691,669",65,30,20,30,57
"176,199","370,748","428,623","580,236","672,524",0,54,35,36,52
"184,288","7,662","382,954","820,897","756,733",81,32,31,22,63
"153,861","177,812","613,705","1,024,053","901,133",97,22,42,18,77
"235,674","263,483","535,024","493,328","754,502",57,19,63,30,52
"229,444","267,362","271,703","943,108","675,369",80,44,37,28,62
"124,533","106,967","643,563","1,130,054","911,560",80,25,50,23,49
"227,933","236,568","391,896","862,613","872,310",92,36,30,38,58
"147,412","244,935","480,874","760,740","526,829",12,27,25,25,69
"96,822","294,107","479,331","542,719","602,065",42,41,53,33,40
"60,722","375,677","311,308","845,498","777,723",47,29,33,24,31
"46,544","279,772","443,595","627,472","696,471",83,32,50,12,46
"162,900","150,616","398,148","422,298","382,863",30,43,55,18,70
"110,739","146,013","162,767","699,580","605,411",79,36,18,22,32
"88,951","237,080","578,900","573,897","773,787",53,45,58,19,64
"136,849","427,730","565,698","453,031","561,428",77,41,47,18,38
"104,173","231,759","545,567","790,480","811,423",49,26,36,17,57
"272,144","303,182","548,011","973,729","350,164",83,35,12,20,51
"99,907","340,675","484,505","732,941","764,583",96,34,37,26,35
"83,510","286,190","790,904","836,615","661,126",96,39,23,14,60
"259,585","261,239","616,514","914,386","754,374",37,45,27,18,54
"182,181","170,871","480,247","658,164","734,491",75,36,27,9,71
"157,008","268,968","322,330","634,673","388,715",77,22,35,25,28
"186,489","110,663","96,885","1,076,061","415,483",86,33,37,30,60
"117,028","275,204","342,948","1,373,947","711,316",70,18,38,27,56
"190,913","374,567","406,643","925,161","479,193",84,23,29,19,55
"211,137","264,600","490,315","1,026,545","740,280",59,46,16,27,44
"176,248","222,308","555,627","549,325","966,815",97,21,24,13,104
"168,295","159,186","380,458","1,128,763","641,302",87,43,28,19,72
"240,023","454,949","561,530","831,243","234,470",74,29,39,23,45
"106,832","329,309","654,815","729,190","485,970",32,36,46,28,52
"130,066","285,341","479,055","1,140,843","696,477",78,47,34,28,59
"168,083","401,725","537,348","740,753","242,867",55,41,40,30,51
"135,794","257,959","283,251","665,591","894,150",45,30,20,24,51
"137,633","227,313","370,549","701,084","625,313",51,35,41,20,60
"101,317","379,296","288,821","824,961","494,118",67,40,22,8,58
"107,902","309,239","1,017,604","573,398","428,416",86,20,27,10,42
"201,788","170,011","635,830","683,007","967,145",31,55,42,32,57
"168,700","339,739","175,915","739,985","509,343",54,50,36,23,73
"176,732","383,470","132,612","738,696","916,136",53,34,37,26,59
"168,144","250,551","613,257","675,941","591,642",66,52,28,30,18
"204,554","278,817","177,800","801,074","364,258",96,65,62,28,55
"137,640","234,484","534,008","784,823","689,797",71,34,29,29,56
"206,667","376,384","709,696","662,128","199,125",85,42,28,18,29
"82,883","245,240","452,490","1,194,593","719,666",67,34,39,31,69
"122,905","226,314","591,595","925,173","865,021",19,37,30,27,56
"251,223","385,077","541,155","597,871","778,261",44,55,41,14,64
"91,707","210,508","316,228","1,005,141","583,107",63,22,39,19,50
"164,022","397,084","514,492","558,679","532,847",25,61,27,14,44
"94,558","360,674","573,826","960,640","844,004",57,32,40,21,54
"180,817","295,390","402,516","834,106","469,300",37,36,27,4,43
"117,058","490,114","503,536","635,147","589,540",19,29,50,24,51
"233,177","343,003","298,113","205,593","1,021,800",79,41,43,12,50
"107,120","202,413","181,908","1,028,772","543,384",59,41,22,32,50
"154,963","332,665","914,003","763,778","686,375",68,34,38,26,43
"173,684","327,309","178,936","904,016","648,448",106,38,46,17,60
"154,520","268,896","319,934","773,480","556,813",67,28,49,18,40
"128,422","258,547","371,435","463,754","905,345",94,23,39,15,51
"186,998","345,417","336,060","920,905","881,598",104,25,54,27,81
"208,041","329,147","564,082","538,672","668,524",57,26,27,29,52
"212,674","198,769","640,173","478,052","529,202",75,22,52,25,57
"223,187","289,015","343,760","807,694","699,087",55,28,40,24,48
"172,003","428,247","710,801","821,249","607,541",65,42,48,30,55
"286,272","232,599","522,426","932,077","406,944",52,22,34,22,38
"212,056","102,890","423,010","1,146,362","342,377",114,28,32,20,70
"115,974","199,786","360,882","765,482","644,151",78,53,18,32,80
"111,026","357,505","484,056","552,885","638,967",53,40,38,12,37
"101,158","177,096","542,127","446,040","658,565",62,43,22,27,37
"131,957","236,388","541,537","1,096,376","370,457",117,38,38,19,15
"151,435","313,739","621,091","773,497","523,608",142,-4,25,26,60
"122,011","321,667","615,900","1,017,157","442,497",95,15,21,30,33
"116,373","249,590","333,762","1,029,950","758,957",48,31,16,21,53
"265,995","273,113","241,255","364,580","910,055",89,45,47,21,53
"56,414","417,691","483,910","266,356","488,208",15,60,34,16,31
"156,157","196,305","455,509","504,073","709,567",82,46,49,25,51
"192,705","274,465","525,262","567,388","849,147",105,21,37,17,31
"211,126","377,398","427,269","1,013,599","454,194",54,24,25,15,20
"258,419","283,752","570,555","1,013,707","523,526",66,52,29,28,74
"172,586","284,285","675,562","435,567","496,805",39,20,22,1,34
"153,632","121,023","426,787","573,176","457,035",98,47,15,13,69
"160,931","371,004","369,475","906,712","970,799",87,31,33,25,46
"158,142","399,845","492,311","619,530","822,874",36,27,25,11,43
"175,046","106,740","472,646","422,662","1,114,282",31,30,32,23,44
"216,540","326,562","915,594","645,848","312,913",49,37,10,23,41
"64,631","188,421","408,909","884,614","435,316",55,54,54,19,55
"107,602","171,643","356,116","802,463","472,500",71,36,26,23,66
"198,641","248,683","849,947","1,048,788","829,636",57,50,28,28,37
"154,187","293,896","398,171","1,121,545","697,834",34,43,34,22,34
"183,467","212,663","555,808","1,321,134","868,847",63,31,48,29,76
"66,429","260,720","511,663","539,333","531,962",75,53,32,12,57
"122,389","174,347","541,325","972,463","799,197",65,34,21,27,28
"163,717","205,879","531,043","474,918","667,864",76,49,51,21,25
"168,826","274,659","408,560","625,970","504,584",88,39,31,20,20
"144,257","268,047","339,513","1,286,437","551,357",55,33,25,20,55
"-49,045","172,503","563,391","758,922","256,507",46,38,34,10,21
"204,365","382,901","471,219","930,083","553,651",106,13,27,20,59
"228,598","113,949","296,192","806,850","786,697",91,21,22,14,47
"151,900","311,130","311,417","692,887","692,106",82,24,18,29,20
"77,683","282,430","190,278","223,963","572,501",130,46,40,20,71
"142,801","196,330","625,046","887,221","431,644",50,34,46,20,35
"132,570","198,298","574,329","1,196,554","573,305",44,62,37,27,53
"173,232","276,688","447,326","484,605","404,115",28,19,38,22,47
"68,366","202,183","495,994","379,678","647,408",32,49,24,17,62
"202,016","300,926","360,301","471,429","93,887",66,52,44,13,38
"279,323","256,904","464,269","848,360","250,303",65,40,33,23,23
"170,023","96,968","383,949","586,627","556,926",44,43,7,16,63
"97,262","307,986","505,593","696,237","736,349",40,58,27,25,50
"184,563","184,865","414,865","1,286,645","671,320",81,35,37,18,46
"107,168","290,204","459,874","656,209","475,406",68,43,36,28,52
"48,012","197,401","143,824","187,172","838,397",60,42,49,8,38
"119,538","324,072","230,124","12,394","1,069,282",69,29,51,12,17
"129,968","155,710","679,271","-3,343","667,644",57,51,38,20,61
"100,075","206,691","679,050","691,333","140,855",85,33,56,13,34
"180,469","253,505","411,844","922,673","839,380",51,41,29,15,24
"169,102","295,358","493,785","837,842","633,489",82,49,32,24,57
"164,436","100,700","624,837","1,014,029","534,564",67,45,14,19,50
"236,682","330,273","530,011","224,778","611,594",41,37,33,17,68
"183,454","255,253","311,751","965,450","693,889",69,31,32,20,61
"172,751","325,097","434,520","784,221","707,262",67,50,25,18,37
"226,705","373,992","146,547","1,025,968","363,839",60,41,57,21,32
"114,668","156,702","619,367","1,114,309","433,219",73,39,11,12,54
"133,540","293,013","620,262","924,840","447,782",78,21,28,30,62
"214,485","449,721","427,985","453,553","443,505",41,45,66,13,65
"94,992","399,041","585,215","728,260","417,103",32,26,34,21,65
"167,343","192,110","549,800","1,039,239","572,719",7,29,25,20,47
"167,683","313,511","308,037","332,794","120,785",102,42,19,29,55
"192,691","342,657","425,221","610,166","629,423",56,37,35,10,72
"227,277","173,543","508,828","778,366","469,039",70,18,35,23,52
"186,282","259,292","310,357","601,089","345,418",72,51,37,11,38
"138,388","290,577","525,188","-7,010","815,516",80,55,42,31,22
"279,225","184,253","520,481","643,523","368,076",41,37,48,21,45
"158,860","383,231","213,356","593,415","1,144,217",68,50,22,28,53
"111,483","124,561","589,599","757,931","564,690",38,36,37,33,42
"153,577","279,180","530,055","41,262","446,891",29,38,51,10,50
"230,757","313,148","475,901","547,324","735,781",39,36,39,33,42
"89,108","217,054","385,611","362,205","344,646",90,28,27,23,62
"128,372","278,646","365,442","365,356","448,066",36,40,23,37,96
"199,346","190,141","305,949","830,003","614,255",41,27,41,25,46
"182,406","166,136","492,343","655,256","167,744",63,34,30,14,42
"179,536","253,393","373,810","608,299","474,906",72,30,22,21,83
"192,488","302,834","447,239","827,011","806,328",76,39,38,23,45
"155,788","265,375","478,900","1,335,466","438,164",71,30,25,33,31
"232,247","328,241","368,669","895,020","714,134",69,48,26,17,84
"153,304","125,690","403,702","922,990","510,264",65,35,31,31,52
"148,440","278,711","539,599","1,137,349","698,163",71,39,59,27,50
"228,963","259,396","462,877","634,274","276,437",77,25,36,18,63
"204,588","235,488","371,032","1,202,743","779,984",67,38,28,21,49
"214,199","359,320","391,706","899,196","1,096,747",19,22,43,21,53
"158,578","192,787","756,610","535,447","1,206,541",84,38,37,23,52
"280,782","299,914","541,104","737,155","761,402",115,41,18,18,47
"125,419","352,034","559,912","924,207","455,931",77,33,38,24,65
"158,161","391,418","613,607","1,215,658","683,513",87,42,46,12,66
"144,973","160,505","381,905","897,255","360,332",21,56,27,16,62
"136,168","160,432","260,969","532,313","812,736",84,36,42,14,49
"233,194","225,502","393,031","316,612","770,778",98,36,43,24,7
"151,611","259,073","513,587","597,464","329,923",65,52,25,24,50
"208,844","206,232","246,970","783,219","364,011",55,47,31,12,50
"201,582","266,012","683,218","412,591","302,561",72,-4,44,19,32
"210,644","152,707","311,045","238,569","918,020",68,41,35,18,40
"159,736","335,428","494,992","1,168,230","787,755",49,32,40,19,30
"95,290","139,606","591,790","1,088,474","509,672",41,44,23,19,66
"175,397","205,389","388,574","1,440,113","632,541",57,29,47,7,11
"253,036","197,707","415,263","578,883","594,407",41,39,28,22,71
"124,268","341,676","351,863","736,193","731,923",67,56,54,16,19
"217,905","255,403","218,184","573,326","453,958",54,60,43,6,51
"121,336","303,320","843,395","482,362","781,070",125,48,31,26,91
"135,852","398,131","403,280","824,027","384,912",47,38,47,14,72
"140,593","174,576","241,549","1,008,057","755,922",83,37,40,11,48
"109,825","353,370","561,548","651,405","716,208",51,20,42,31,52
"189,461","279,547","402,015","448,496","699,419",34,13,35,23,28
"172,327","407,587","389,032","433,530","947,741",108,28,34,14,38
"106,350","121,149","355,949","650,530","731,232",49,39,38,18,42
"199,303","284,448","426,626","1,397,106","776,241",80,55,36,16,59
"160,345","215,576","752,173","346,577","892,660",52,55,19,20,75
"186,809","286,038","458,505","813,638","541,609",30,50,11,25,23
"208,874","153,244","221,569","749,081","845,554",64,40,33,27,46
"230,449","398,256","342,028","848,143","755,636",34,20,38,33,55
"240,055","301,675","759,502","1,073,560","560,900",48,47,40,14,30
"17,629","277,809","164,464","1,097,994","709,274",71,13,28,24,32
"151,555","113,035","307,773","396,701","211,079",93,52,24,23,35
"211,188","150,857","418,736","664,144","731,948",56,28,30,21,43
"115,461","268,304","505,361","1,255,807","549,239",97,38,41,25,16
"237,929","222,442","724,742","1,044,757","765,092",73,55,28,18,30
"158,610","597,113","376,082","906,973","113,028",67,56,46,16,34
"147,827","367,350","334,398","944,193","1,063,949",106,33,33,21,32
"187,378","178,571","593,392","1,159,822","505,342",65,44,24,26,41
"138,985","245,240","288,348","837,798","762,125",44,33,47,15,20
"137,969","213,576","523,812","713,748","403,882",34,54,30,18,34
"188,355","370,061","491,293","795,355","790,503",58,42,36,17,53
"240,860","216,861","701,986","999,872","564,035",81,5,27,13,35
"166,932","103,792","576,279","449,045","556,669",82,37,40,34,49
"219,556","194,742","580,861","830,614","676,606",70,39,46,10,48
"81,857","273,036","453,750","773,871","713,772",28,52,45,18,11
"161,398","322,175","370,766","832,703","724,999",91,48,42,20,61
"164,622","349,797","527,129","413,185","599,830",61,48,56,16,42
"160,262","272,120","808,869","823,389","528,243",77,30,19,15,62
"154,740","388,744","748,780","805,052","714,416",42,62,17,24,48
"135,670","156,388","316,718","647,352","952,903",58,26,28,17,55
"208,182","218,170","411,668","746,799","444,053",30,51,26,17,53
"159,353","168,201","468,672","1,162,380","755,747",41,47,32,25,30
"122,406","216,501","336,841","524,886","387,860",73,54,39,20,90
"114,596","195,584","438,484","592,059","572,946",22,32,28,21,41
"212,870","266,953","761,726","138,099","509,320",83,46,29,21,53
"176,979","342,257","283,524","826,742","691,213",61,54,19,23,65
"260,996","349,052","359,063","801,809","441,760",52,58,33,15,71
"75,432","228,122","436,692","352,999","700,689",110,22,30,22,48
"144,642","340,366","505,206","787,933","334,243",88,18,25,16,63
"130,224","236,296","577,751","1,033,494","743,160",36,26,39,21,67
"176,967","228,513","446,618","1,087,454","723,774",91,42,53,23,91
"131,333","241,911","239,335","308,830","831,104",94,43,24,19,63
"196,997","244,569","720,132","511,709","483,978",73,45,38,33,35
"149,893","262,684","673,235","493,682","412,982",75,23,29,13,24
"161,439","273,814","482,350","706,342","1,010,131",29,54,59,17,36
"106,498","401,585","412,181","969,327","211,524",51,54,14,12,63
"161,101","339,663","325,922","727,352","223,165",54,43,46,19,52
"220,387","72,031","626,507","789,792","423,449",13,31,38,26,105
"150,921","414,713","274,725","760,494","573,076",66,46,25,24,70
"157,132","306,839","805,411","278,171","713,100",70,33,30,28,80
"128,097","254,995","226,301","670,329","62,376",70,46,59,25,83
"137,855","144,201","415,959","608,404","83,910",66,42,29,18,44
"149,507","237,149","377,502","1,053,341","648,822",101,12,36,10,51
"166,213","307,621","534,930","446,561","586,664",62,36,27,24,46
"81,654","268,834","420,399","798,734","543,805",53,38,35,23,41
"204,761","294,795","489,895","795,356","669,684",78,26,45,17,62
"181,903","417,292","326,566","736,745","522,579",103,31,37,19,64
"165,195","200,156","441,400","456,770","366,486",93,8,31,23,47
"138,139","311,210","357,092","510,367","617,919",135,43,30,24,72
"111,615","195,104","325,155","547,957","380,354",82,61,33,29,65
"126,236","231,950","374,656","920,723","470,739",88,45,41,30,68
"113,353","249,467","520,512","122,141","658,033",61,46,35,19,55
"111,141","206,767","357,254","835,606","669,047",72,24,30,20,63
"161,099","135,984","531,062","380,993","832,502",92,29,50,16,60
"120,451","367,035","357,341","499,385","348,297",51,34,32,26,72
"92,184","225,585","445,595","519,345","519,351",90,12,15,15,44
"155,443","397,688","545,536","1,072,416","626,143",75,36,38,29,38
"168,161","219,800","598,041","635,117","589,414",37,32,49,12,60
"163,448","178,612","429,422","440,667","494,120",34,39,36,16,26
"168,252","270,552","364,553","953,554","632,721",84,61,46,12,61
"94,094","233,839","447,941","862,657","645,576",46,6,27,28,63
"144,134","185,509","296,617","1,278,760","458,546",115,32,24,19,58
"163,566","332,963","412,676","1,198,400","362,291",57,31,51,23,32
"263,383","225,323","736,896","1,172,032","388,614",87,34,30,20,38
"143,625","181,940","481,959","789,542","644,586",9,34,38,31,64
"78,632","380,786","691,891","578,027","498,304",50,49,13,-3,39
"173,614","138,693","378,516","817,557","811,339",41,27,11,17,50
"252,433","137,365","628,474","1,049,645","816,232",105,43,22,16,29
"102,228","364,269","613,065","504,752","582,397",48,41,19,15,62
"125,140","287,935","800,080","482,142","896,218",49,32,49,20,56
"194,181","353,349","497,651","1,032,785","493,191",56,38,22,26,62
"202,797","223,514","649,393","1,069,810","1,053,495",85,19,40,19,41
"221,486","94,892","626,744","463,880","596,355",75,46,24,28,64
"185,760","184,597","719,511","851,554","740,620",42,36,32,23,40
"132,142","296,363","301,660","842,116","747,319",55,48,42,29,46
"110,617","246,804","487,173","384,871","430,106",57,33,36,26,44
"208,319","339,347","341,858","636,676","395,935",70,33,50,20,69
"85,745","325,746","574,619","718,641","702,861",65,57,41,25,61
"175,959","376,447","273,408","898,623","1,026,208",59,39,23,19,26
"176,522","317,678","695,689","677,382","490,767",48,29,45,18,44
